"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"GermanTexts/R/X_PND_3_narr_D_C_3.txt",6.94117647058824,17,"X",FALSE,"3","narr","D","3"
"GermanTexts/S/AB_PLD_1_narr_D_C_2.txt",4.6875,16,"AB",FALSE,"1","narr","D","2"
"GermanTexts/S/AB_PLD_6_narr_D_C_1.txt",3.0625,16,"AB",FALSE,"6","narr","D","1"
"GermanTexts/S/AC_PLD_3_narr_D_C_1.txt",3.8125,16,"AC",FALSE,"3","narr","D","1"
"GermanTexts/S/AC_PLD_8_narr_D_C_1.txt",4.5,16,"AC",FALSE,"8","narr","D","1"
"GermanTexts/S/AF_PLD_1_narr_D_C_2.txt",3.6875,16,"AF",FALSE,"1","narr","D","2"
"GermanTexts/S/AG_PLD_1_arg_D_C_1.txt",7.25,16,"AG",FALSE,"1","arg","D","1"
"GermanTexts/S/E_PLD_11_narr_D_C_2.txt",3.8125,16,"E",FALSE,"11","narr","D","2"
"GermanTexts/S/E_PLD_14_narr_D_C_3.txt",5.0625,16,"E",FALSE,"14","narr","D","3"
"GermanTexts/S/E_PLD_4_narr_D_C_3.txt",5.33333333333333,15,"E",FALSE,"4","narr","D","3"
"GermanTexts/S/E_PLD_6_narr_D_C_2.txt",6.0625,16,"E",FALSE,"6","narr","D","2"
"GermanTexts/S/E_PLD_7_narr_D_C_3.txt",4.5,16,"E",FALSE,"7","narr","D","3"
"GermanTexts/S/F_PLD_5_arg_D_C_1.txt",4.8125,16,"F",FALSE,"5","arg","D","1"
"GermanTexts/S/H_PLD_2_arg_D_C_3.txt",5.5,16,"H",FALSE,"2","arg","D","3"
"GermanTexts/S/I_PLD_4_narr_D_C_1.txt",5.0625,16,"I",FALSE,"4","narr","D","1"
"GermanTexts/S/I_PLD_4_narr_D_C_3.txt",4.5625,16,"I",FALSE,"4","narr","D","3"
"GermanTexts/S/L_PLD_18_arg_D_C_1.txt",5.0625,16,"L",FALSE,"18","arg","D","1"
"GermanTexts/S/L_PLD_2_arg_D_C_2.txt",3.75,16,"L",FALSE,"2","arg","D","2"
"GermanTexts/S/L_PLD_2_arg_D_C_3.txt",3.9375,16,"L",FALSE,"2","arg","D","3"
"GermanTexts/S/L_PLD_5_arg_D_C_1.txt",3,16,"L",FALSE,"5","arg","D","1"
"GermanTexts/S/M_PLD_14_narr_D_C_3.txt",6.5625,16,"M",FALSE,"14","narr","D","3"
"GermanTexts/S/M_PLD_3_arg_D_C_2.txt",3.8125,16,"M",FALSE,"3","arg","D","2"
