"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"FrenchTexts/P/R_CF_12_arg_F_C_3.txt",7.14285714285714,7,"R",TRUE,"12","arg","F","3"
"FrenchTexts/P/R_CF_14_arg_F_C_1.txt",4.85714285714286,7,"R",TRUE,"14","arg","F","1"
"FrenchTexts/P/R_CF_14_narr_F_C_2.txt",4.71428571428571,7,"R",TRUE,"14","narr","F","2"
"FrenchTexts/P/R_CF_15_narr_F_C_2.txt",5.85714285714286,7,"R",TRUE,"15","narr","F","2"
"FrenchTexts/P/R_CF_21_arg_F_C_2.txt",4.57142857142857,7,"R",TRUE,"21","arg","F","2"
"FrenchTexts/P/T_CF_10_narr_F_C_2.txt",5.71428571428571,7,"T",TRUE,"10","narr","F","2"
"FrenchTexts/P/T_CF_4_arg_F_C_2.txt",6.71428571428571,7,"T",TRUE,"4","arg","F","2"
"FrenchTexts/P/T_CF_6_arg_F_C_3.txt",7.42857142857143,7,"T",TRUE,"6","arg","F","3"
"FrenchTexts/P/T_CF_8_arg_F_C_2.txt",5.14285714285714,7,"T",TRUE,"8","arg","F","2"
"FrenchTexts/P/W_CF_11_narr_F_C_3.txt",6,7,"W",TRUE,"11","narr","F","3"
"FrenchTexts/P/W_CF_14_arg_F_C_1.txt",2.42857142857143,7,"W",TRUE,"14","arg","F","1"
"FrenchTexts/P/W_CF_5_narr_F_C_3.txt",5.85714285714286,7,"W",TRUE,"5","narr","F","3"
"FrenchTexts/P/Y_PNF_12_narr_F_C_2.txt",5.14285714285714,7,"Y",FALSE,"12","narr","F","2"
"FrenchTexts/P/Y_PNF_13_arg_F_C_2.txt",3.71428571428571,7,"Y",FALSE,"13","arg","F","2"
"FrenchTexts/P/Y_PNF_13_narr_F_C_3.txt",6.66666666666667,6,"Y",FALSE,"13","narr","F","3"
"FrenchTexts/P/Y_PNF_17_arg_F_C_3.txt",5.85714285714286,7,"Y",FALSE,"17","arg","F","3"
"FrenchTexts/P/Y_PNF_1_arg_F_C_1.txt",4.57142857142857,7,"Y",FALSE,"1","arg","F","1"
"FrenchTexts/P/Y_PNF_24_arg_F_C_2.txt",5.71428571428571,7,"Y",FALSE,"24","arg","F","2"
"FrenchTexts/P/Y_PNF_33_narr_F_C_1.txt",2.71428571428571,7,"Y",FALSE,"33","narr","F","1"
"FrenchTexts/P/Y_PNF_4_arg_F_C_2.txt",5.28571428571429,7,"Y",FALSE,"4","arg","F","2"
"FrenchTexts/Q/AA_PLF_4_arg_F_C_1.txt",5,9,"AA",FALSE,"4","arg","F","1"
"FrenchTexts/Q/AD_PLF_11_arg_F_C_1.txt",4.55555555555556,9,"AD",FALSE,"11","arg","F","1"
"FrenchTexts/Q/AD_PLF_13_arg_F_C_3.txt",4.44444444444444,9,"AD",FALSE,"13","arg","F","3"
"FrenchTexts/Q/AD_PLF_15_narr_F_C_3.txt",6.44444444444444,9,"AD",FALSE,"15","narr","F","3"
"FrenchTexts/Q/AD_PLF_16_arg_F_C_3.txt",5.66666666666667,9,"AD",FALSE,"16","arg","F","3"
"FrenchTexts/Q/AD_PLF_17_narr_F_C_3.txt",4.77777777777778,9,"AD",FALSE,"17","narr","F","3"
"FrenchTexts/Q/AD_PLF_18_narr_F_C_1.txt",4,9,"AD",FALSE,"18","narr","F","1"
"FrenchTexts/Q/AD_PLF_18_narr_F_C_2.txt",5.44444444444444,9,"AD",FALSE,"18","narr","F","2"
