Country,Year,Mono,One,Two,Three,Total,total_exposomes,sociopolitical,social_physical,GDP,Migration,number_leng_inst,number_stable_inst,distance,gender_equal_l,Polution_conc_inv,Eq,free_parties_l,inclu_suff_est,cred_elect_est,local_dem_est,n,Pop
Slovenia,2019,9.95,18.65,24.4,47,90.05,0.629923544669341,0.57011900087543,0.709662936394557,54386654313.9685,11.4129640933173,2,1,12,0.678219280400696,0.46311520779532,0.987654320987654,0.518012693042467,0.8561872909699,0.511338699266945,0.394937320222407,1626,2080200
Slovenia,2017,13.9166666666667,20.0166666666667,25.2666666666667,40.8,86.0833333333333,0.657733489884756,0.6270512315353,0.698643167684032,48589100043.0954,11.4129640933173,2,1,12,0.620825950603305,0.47510355244879,1,0.518012693042467,0.8561872909699,0.625717031510266,0.508287910618566,57,2089000
Slovenia,2015,14.24,19.56,27.08,39.14,85.78,0.629271354675515,0.596332366462193,0.673190005626612,43107506024.3254,11.4129640933173,2,1,12,0.674147177895333,0.419496913058577,0.925925925925926,0.518012693042467,0.84854276158624,0.510486100601497,0.508287910618566,1533,2080000
Slovenia,2013,10.92,17.28,29.84,42.02,89.14,0.658809332458844,0.681565991451114,0.62846712046915,48415657264.8758,11.7937170278644,2,1,12,0.612509496370865,0.396348655160043,0.876543209876543,0.746059748677704,0.849737219302438,0.62217908720575,0.508287910618566,532,2061500
Slovenia,2011,7.59999999999999,15,32.6,44.9,92.5,0.682417292755148,0.74997133300007,0.592345239095251,51583869785.1849,12.1744699624115,2,1,12,0.539243495798097,0.281002098030865,0.95679012345679,1,0.849737219302438,0.641860202079278,0.508287910618566,1543,2050191
Spain,2019,44.75,34.7,15.05,5.5,55.25,0.734383399500478,0.767573520526197,0.690129904799519,1394320055129.41,12.6902371918259,4,2,9,0.898806430188091,0.795040074333924,0.376543209876544,0.480838247290084,0.972288580984234,0.816179017342091,0.800988236488378,1064,47200000
Spain,2017,45.45,34.7666666666667,14.55,5.3,54.6166666666667,0.6527307646667,0.673645401668012,0.624844581998285,1313245330197.65,12.6902371918259,4,2,9,0.728583250926207,0.794098643216795,0.351851851851851,0.480838247290084,0.886287625418061,0.526467497475526,0.800988236488378,106,46950000
Spain,2016,46.42,34.64,13.96,5.06,53.66,0.646993119355833,0.689245859267658,0.590656132806732,1196156971279.69,12.6902371918259,4,2,9,0.754658682158509,0.758050457002427,0.259259259259259,0.480838247290084,0.886287625418061,0.588869327874111,0.800988236488378,329,46700000
Spain,2013,47.66,34.32,13.28,4.78,52.38,0.667837241913958,0.733316751875627,0.580531228631732,1355579535912.55,13.0045834623447,4,2,9,0.716263551877634,0.766070874758303,0.259259259259259,0.480838247290084,0.906115623506929,0.74532490021712,0.800988236488378,2360,46670000
Spain,2011,48.9,34,12.6,4.5,51.1,0.653347152140712,0.732521695817834,0.547781093904549,1480710495710.12,13.3189297328634,4,2,9,0.682560690445687,0.670659134477839,0.290123456790123,0.456749385859517,0.906115623506929,0.766233537416515,0.800988236488378,1053,46196548
